CAPTEUR1;"de:a0:13:5b:01:7f";code_1
CAPTEUR2;"de:12:13:44:4b:84";code_2
CAPTEUR3;"c9:51:3f:8c:fa:b9";code_3
CAPTEUR4;"xx:xx:xx:xx:xx:xx";code_4
CAPTEUR5;"xx:xx:xx:xx:xx:xx";code_5
CAPTEUR6;"xx:xx:xx:xx:xx:xx";code_6
